Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Emission Class
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,HIGH
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,HIGH
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,HIGH
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,HIGH
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,HIGH
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,HIGH
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,HIGH
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,HIGH
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306,HIGH
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308,HIGH
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293,HIGH
AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,HIGH
AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,HIGH
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,HIGH
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,HIGH
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267,HIGH
AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,HIGH
AUDI,S7,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,HIGH
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300,HIGH
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292,HIGH
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209,HIGH
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209,HIGH
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237,HIGH
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237,HIGH
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314,HIGH
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356,HIGH
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332,HIGH
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,HIGH
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,HIGH
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,HIGH
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437,HIGH
BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,MODERATE
BMW,320i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,MODERATE
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202,HIGH
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181,MODERATE
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181,MODERATE
BMW,328i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,MODERATE
BMW,328i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,MODERATE
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,HIGH
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,HIGH
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,HIGH
BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,HIGH
BMW,335i,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,HIGH
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,HIGH
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,HIGH
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,HIGH
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,MODERATE
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,MODERATE
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,HIGH
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,HIGH
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,HIGH
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,HIGH
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,HIGH
BMW,528i,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202,HIGH
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,HIGH
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213,HIGH
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,HIGH
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,HIGH
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,HIGH
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232,HIGH
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,HIGH
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,HIGH
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356,HIGH
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191,MODERATE
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214,HIGH
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212,HIGH
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,HIGH
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,HIGH
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317,HIGH
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,HIGH
BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,HIGH
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,HIGH
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,HIGH
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,HIGH
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,HIGH
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,HIGH
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260,HIGH
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230,HIGH
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253,HIGH
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255,HIGH
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320,HIGH
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370,HIGH
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,24,274,HIGH
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324,HIGH
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209,HIGH
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200,MODERATE
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278,HIGH
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253,HIGH
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278,HIGH
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,HIGH
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,HIGH
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196,MODERATE
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212,HIGH
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264,HIGH
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250,HIGH
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264,HIGH
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13.0,16.5,17,264,HIGH
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,MODERATE
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,HIGH
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225,HIGH
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246,HIGH
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,MODERATE
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,HIGH
BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225,HIGH
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218,HIGH
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221,HIGH
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,28,235,HIGH
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207,HIGH
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251,HIGH
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,28,232,HIGH
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,25,260,HIGH
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258,HIGH
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262,HIGH
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,28,232,HIGH
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248,HIGH
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,26,248,HIGH
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260,HIGH
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294,HIGH
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253,HIGH
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260,HIGH
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,25,255,HIGH
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,25,262,HIGH
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,HIGH
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,HIGH
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,HIGH
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,HIGH
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,HIGH
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340,HIGH
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338,HIGH
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,HIGH
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377,HIGH
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354,HIGH
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283,HIGH
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294,HIGH
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262,HIGH
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271,HIGH
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290,HIGH
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258,HIGH
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269,HIGH
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242,HIGH
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294,HIGH
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292,HIGH
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,HIGH
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340,HIGH
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,24,276,HIGH
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258,HIGH
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179,MODERATE
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179,MODERATE
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202,HIGH
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189,MODERATE
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,D,8.7,5.1,7.1,40,192,MODERATE
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6.0,7.7,37,177,MODERATE
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163,MODERATE
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,HIGH
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,24,276,HIGH
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259,HIGH
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230,HIGH
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,HIGH
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272,HIGH
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347,HIGH
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366,HIGH
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,HIGH
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,HIGH
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,HIGH
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,HIGH
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,HIGH
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,HIGH
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,HIGH
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380,HIGH
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,HIGH
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380,HIGH
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362,HIGH
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414,HIGH
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432,HIGH
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,11,411,HIGH
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419,HIGH
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435,HIGH
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.2,20.5,25.8,11,413,HIGH
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221,HIGH
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244,HIGH
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229,HIGH
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.7,32,200,MODERATE
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,HIGH
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8.0,35,184,MODERATE
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244,HIGH
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235,HIGH
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271,HIGH
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269,HIGH
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292,HIGH
